id,class
0,5
1,4
2,15
3,4
4,13
5,1
6,15
7,2
8,3
9,13
10,8
11,16
12,5
13,13
14,15
15,18
16,9
17,9
18,3
19,14
20,9
21,13
22,9
23,9
24,2
25,15
26,3
27,15
28,4
29,19
30,13
31,3
32,5
33,15
34,14
35,8
36,13
37,14
38,3
39,13
40,18
41,2
42,14
43,15
44,6
45,2
46,17
47,14
48,19
49,6
50,1
51,13
52,5
53,9
54,6
55,19
56,6
57,19
58,15
59,8
60,13
61,13
62,14
63,11
64,9
65,6
66,3
67,14
68,1
69,15
70,8
71,12
72,17
73,1
74,3
75,1
76,14
77,3
78,15
79,13
80,13
81,19
82,3
83,19
84,3
85,11
86,12
87,18
88,19
89,2
90,13
91,8
92,11
93,9
94,6
95,8
96,13
97,14
98,13
99,11
100,3
101,14
102,8
103,13
104,1
105,18
106,13
107,17
108,10
109,18
110,10
111,4
112,19
113,13
114,10
115,14
116,14
117,3
118,17
119,1
120,13
121,8
122,12
123,8
124,9
125,13
126,15
127,8
128,6
129,17
130,18
131,15
132,10
133,8
134,12
135,17
136,13
137,17
138,11
139,15
140,14
141,11
142,11
143,10
144,3
145,1
146,14
147,16
148,9
149,4
150,1
151,14
152,12
153,1
154,4
155,15
156,14
157,9
158,12
159,17
160,2
161,15
162,9
163,3
164,13
165,14
166,1
167,9
168,8
169,9
170,13
171,18
172,14
173,11
174,12
175,8
176,6
177,18
178,4
179,9
180,9
181,8
182,3
183,18
184,3
185,18
186,10
187,6
188,2
189,15
190,6
191,19
192,18
193,15
194,3
195,3
196,3
197,15
198,18
199,11
200,14
201,18
202,1
203,1
204,15
205,8
206,13
207,15
208,6
209,14
210,13
211,15
212,1
213,4
214,6
215,12
216,18
217,1
218,8
219,4
220,3
221,15
222,12
223,14
224,10
225,19
226,13
227,11
228,14
229,8
230,15
231,9
232,15
233,13
234,1
235,5
236,8
237,4
238,13
239,13
240,18
241,11
242,7
243,13
244,17
245,2
246,18
247,11
248,13
249,15
250,9
251,11
252,12
253,8
254,13
255,13
256,4
257,3
258,9
259,15
260,19
261,12
262,19
263,18
264,17
265,8
266,13
267,18
268,3
269,8
270,13
271,8
272,13
273,9
274,15
275,8
276,11
277,18
278,8
279,15
280,18
281,9
282,14
283,3
284,13
285,7
286,10
287,15
288,3
289,18
290,6
291,11
292,17
293,3
294,4
295,19
296,3
297,13
298,10
299,13
300,12
301,18
302,15
303,10
304,12
305,9
306,10
307,8
308,14
309,4
310,9
311,18
312,12
313,8
314,15
315,16
316,9
317,13
318,9
319,10
320,15
321,14
322,15
323,13
324,2
325,7
326,14
327,9
328,18
329,13
330,8
331,8
332,10
333,14
334,18
335,12
336,11
337,15
338,13
339,15
340,3
341,18
342,13
343,13
344,14
345,3
346,12
347,1
348,9
349,14
350,10
351,2
352,9
353,6
354,18
355,7
356,6
357,12
358,5
359,14
360,14
361,6
362,10
363,9
364,9
365,3
366,3
367,6
368,6
369,18
370,3
371,14
372,15
373,13
374,19
375,15
376,19
377,6
378,4
379,1
380,12
381,8
382,13
383,14
384,15
385,15
386,13
387,13
388,18
389,10
390,8
391,6
392,13
393,5
394,18
395,8
396,11
397,1
398,12
399,13
400,5
401,13
402,4
403,15
404,13
405,13
406,3
407,17
408,13
409,19
410,14
411,4
412,11
413,11
414,13
415,18
416,1
417,7
418,8
419,9
420,9
421,3
422,6
423,19
424,9
425,8
426,12
427,9
428,8
429,14
430,16
431,13
432,14
433,15
434,13
435,15
436,8
437,2
438,6
439,13
440,9
441,8
442,4
443,13
444,1
445,3
446,16
447,13
448,3
449,3
450,8
451,13
452,5
453,15
454,9
455,13
456,6
457,18
458,19
459,11
460,15
461,9
462,2
463,14
464,8
465,15
466,8
467,13
468,7
469,15
470,11
471,13
472,6
473,8
474,6
475,12
476,2
477,12
478,3
479,13
480,18
481,6
482,18
483,9
484,6
485,10
486,18
487,18
488,12
489,9
490,18
491,1
492,3
493,15
494,13
495,9
496,19
497,15
498,14
499,13
500,9
501,9
502,9
503,10
504,15
505,1
506,3
507,16
508,8
509,17
510,19
511,6
512,3
513,13
514,16
515,3
516,1
517,19
518,1
519,3
520,16
521,14
522,6
523,7
524,9
525,13
526,3
527,3
528,6
529,15
530,8
531,13
532,13
533,1
534,11
535,10
536,19
537,10
538,3
539,9
540,18
541,14
542,14
543,18
544,15
545,8
546,13
547,8
548,19
549,13
550,19
551,11
552,15
553,14
554,9
555,4
556,6
557,12
558,12
559,18
560,9
561,13
562,14
563,18
564,16
565,8
566,14
567,3
568,2
569,10
570,13
571,10
572,5
573,8
574,3
575,6
576,18
577,4
578,4
579,9
580,1
581,13
582,7
583,8
584,8
585,6
586,7
587,8
588,1
589,3
590,8
591,13
592,9
593,18
594,12
595,3
596,8
597,14
598,8
599,9
600,13
601,5
602,1
603,18
604,18
605,6
606,8
607,18
608,14
