id,class
0,5
1,4
2,3
3,4
4,5
5,8
6,14
7,15
8,3
9,9
10,8
11,8
12,5
13,1
14,15
15,18
16,9
17,9
18,3
19,14
20,9
21,15
22,9
23,9
24,2
25,15
26,3
27,15
28,1
29,8
30,10
31,3
32,1
33,15
34,14
35,8
36,13
37,8
38,3
39,9
40,18
41,13
42,14
43,15
44,3
45,19
46,14
47,14
48,8
49,6
50,14
51,8
52,6
53,9
54,4
55,9
56,6
57,19
58,10
59,8
60,16
61,13
62,14
63,12
64,9
65,6
66,3
67,8
68,8
69,15
70,14
71,8
72,17
73,13
74,3
75,1
76,14
77,3
78,11
79,6
80,1
81,17
82,3
83,9
84,3
85,3
86,16
87,18
88,8
89,2
90,13
91,8
92,6
93,9
94,6
95,13
96,3
97,14
98,13
99,11
100,3
101,10
102,8
103,13
104,1
105,18
106,13
107,17
108,10
109,18
110,10
111,15
112,3
113,9
114,10
115,14
116,14
117,3
118,15
119,18
120,6
121,8
122,3
123,8
124,9
125,13
126,15
127,8
128,3
129,15
130,18
131,15
132,1
133,1
134,12
135,17
136,10
137,17
138,13
139,14
140,3
141,3
142,15
143,10
144,13
145,18
146,14
147,8
148,3
149,4
150,8
151,14
152,3
153,13
154,4
155,15
156,14
157,15
158,12
159,14
160,2
161,15
162,9
163,3
164,13
165,14
166,1
167,15
168,1
169,9
170,8
171,16
172,14
173,15
174,3
175,1
176,6
177,18
178,4
179,9
180,9
181,8
182,3
183,18
184,3
185,18
186,8
187,6
188,12
189,15
190,6
191,19
192,8
193,15
194,3
195,3
196,12
197,15
198,12
199,3
200,10
201,18
202,1
203,8
204,15
205,8
206,2
207,15
208,6
209,6
210,13
211,15
212,1
213,6
214,6
215,12
216,18
217,14
218,8
219,4
220,15
221,3
222,3
223,14
224,10
225,3
226,13
227,3
228,14
229,8
230,15
231,9
232,15
233,14
234,8
235,5
236,8
237,14
238,1
239,19
240,18
241,3
242,14
243,13
244,14
245,2
246,19
247,17
248,14
249,15
250,6
251,11
252,12
253,8
254,12
255,15
256,4
257,3
258,3
259,15
260,19
261,3
262,18
263,18
264,14
265,8
266,13
267,18
268,19
269,14
270,13
271,8
272,13
273,9
274,15
275,3
276,2
277,1
278,8
279,15
280,12
281,3
282,14
283,3
284,13
285,17
286,10
287,15
288,3
289,13
290,6
291,11
292,19
293,3
294,4
295,3
296,3
297,19
298,13
299,18
300,3
301,18
302,15
303,6
304,13
305,9
306,18
307,8
308,14
309,6
310,9
311,9
312,3
313,8
314,15
315,8
316,9
317,9
318,9
319,10
320,15
321,14
322,15
323,11
324,2
325,7
326,14
327,12
328,8
329,8
330,18
331,8
332,10
333,14
334,18
335,18
336,12
337,15
338,14
339,15
340,3
341,18
342,13
343,8
344,14
345,3
346,12
347,1
348,15
349,14
350,6
351,2
352,9
353,6
354,18
355,12
356,6
357,12
358,5
359,14
360,14
361,4
362,8
363,9
364,9
365,3
366,15
367,6
368,6
369,18
370,3
371,13
372,15
373,18
374,1
375,14
376,13
377,6
378,15
379,13
380,3
381,13
382,15
383,14
384,11
385,15
386,13
387,15
388,13
389,13
390,16
391,6
392,13
393,4
394,8
395,8
396,3
397,1
398,3
399,9
400,5
401,15
402,4
403,15
404,13
405,13
406,9
407,14
408,3
409,2
410,14
411,4
412,3
413,11
414,19
415,18
416,1
417,7
418,10
419,9
420,9
421,3
422,6
423,9
424,9
425,8
426,3
427,9
428,13
429,13
430,8
431,13
432,14
433,15
434,9
435,15
436,8
437,4
438,3
439,3
440,9
441,8
442,4
443,18
444,1
445,3
446,1
447,13
448,3
449,15
450,6
451,13
452,5
453,15
454,9
455,18
456,6
457,18
458,19
459,11
460,14
461,9
462,2
463,15
464,16
465,15
466,8
467,13
468,7
469,15
470,3
471,18
472,10
473,1
474,3
475,12
476,18
477,12
478,3
479,14
480,18
481,6
482,18
483,9
484,6
485,6
486,18
487,18
488,6
489,19
490,3
491,11
492,3
493,15
494,15
495,9
496,1
497,15
498,14
499,13
500,7
501,9
502,8
503,10
504,15
505,16
506,3
507,16
508,8
509,4
510,12
511,6
512,3
513,13
514,12
515,3
516,1
517,18
518,1
519,19
520,16
521,14
522,10
523,7
524,9
525,9
526,3
527,15
528,6
529,15
530,8
531,13
532,13
533,1
534,11
535,8
536,3
537,16
538,3
539,9
540,18
541,7
542,14
543,18
544,15
545,14
546,13
547,13
548,9
549,13
550,19
551,1
552,15
553,14
554,3
555,4
556,6
557,12
558,12
559,18
560,9
561,13
562,3
563,18
564,8
565,8
566,14
567,17
568,2
569,19
570,13
571,10
572,5
573,16
574,15
575,6
576,3
577,4
578,6
579,9
580,1
581,8
582,7
583,8
584,8
585,6
586,1
587,8
588,8
589,8
590,8
591,9
592,3
593,14
594,12
595,18
596,8
597,13
598,1
599,9
600,13
601,14
602,16
603,18
604,18
605,6
606,8
607,18
608,6
